league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Primera A,0,N/A,N/A,0,0,0,0,0,0,0,0
Primera A,0,N/A,N/A,0,0,0,0,0,0,0,0
